m;s in mm;n;Messung 1;Messung 2;Messung 3;Messung 4;Messung 5;Durchschnitt
20g;63;20;10,44;10,45;10,57;10,64;10,76;10,572
40g;125;20;14,23;14,32;14,3;14,13;14,33;14,262
60g;185;20;16,95;17;17,19;17,09;17,17;17,08
80g;247;20;19,65;19,57;19,62;19,7;19,53;19,614
100g;306;20;21,55;21,62;21,63;21,68;21,67;21,63
;;;;;;;;
80g;35;50;18,85;18,83;19,28;18,86;18,88;18,94
100g;45;50;20,85;20,91;20,97;21;21,02;20,95
120g;56;50;23,01;22,95;23,15;23,04;23,03;23,036
140g;63;50;24,78;24,65;24,75;24,87;24,59;24,728
160g;72;50;26,28;26,18;26,34;26,59;26,35;26,348
